day,time,Alog_in0,Alog_in1,Alog_in2,Alog_in3,Alog_in4,Alog_in5,Alog_in6,Alog_in7
2024:12:11,16:11:15,,,,,,,,
2024:12:11,16:11:16,,,,,,,,
2024:12:11,16:11:17,,,,,,,,
2024:12:11,16:11:18,,,,,,,,
2024:12:11,16:11:19,,,,,,,,
2024:12:11,16:11:20,,,,,,,,
2024:12:11,16:11:21,,,,,,,,
2024:12:11,16:11:22,,,,,,,,
2024:12:11,16:11:23,,,,,,,,
2024:12:11,16:11:24,,,,,,,,
2024:12:11,16:11:25,,,,,,,,
2024:12:11,16:11:26,,,,,,,,
2024:12:11,16:11:27,,,,,,,,
2024:12:11,16:11:28,,,,,,,,
2024:12:11,16:11:29,,,,,,,,
2024:12:11,16:11:30,,,,,,,,
2024:12:11,16:11:31,,,,,,,,
2024:12:11,16:11:32,,,,,,,,
2024:12:11,16:11:33,,,,,,,,
2024:12:11,16:11:34,,,,,,,,
2024:12:11,16:11:35,,,,,,,,
2024:12:11,16:11:36,,,,,,,,
2024:12:11,16:11:37,,,,,,,,
2024:12:11,16:11:38,,,,,,,,
2024:12:11,16:11:39,,,,,,,,
2024:12:11,16:11:41,,,,,,,,
2024:12:11,16:11:42,,,,,,,,
2024:12:11,16:11:43,,,,,,,,
2024:12:11,16:11:44,,,,,,,,
2024:12:11,16:11:45,,,,,,,,
2024:12:11,16:11:46,,,,,,,,
2024:12:11,16:11:47,,,,,,,,
2024:12:11,16:11:48,,,,,,,,
2024:12:11,16:11:49,,,,,,,,
2024:12:11,16:11:50,,,,,,,,
2024:12:11,16:11:51,,,,,,,,
2024:12:11,16:11:52,,,,,,,,
2024:12:11,16:11:53,,,,,,,,
2024:12:11,16:11:54,,,,,,,,
2024:12:11,16:11:55,,,,,,,,
2024:12:11,16:11:56,,,,,,,,
2024:12:11,16:11:57,,,,,,,,
2024:12:11,16:11:58,,,,,,,,
2024:12:11,16:11:59,,,,,,,,
2024:12:11,16:12:0,,,,,,,,
2024:12:11,16:12:1,,,,,,,,
2024:12:11,16:12:2,,,,,,,,
2024:12:11,16:12:3,,,,,,,,
2024:12:11,16:12:4,,,,,,,,
2024:12:11,16:12:5,,,,,,,,
2024:12:11,16:12:6,,,,,,,,
2024:12:11,16:12:7,,,,,,,,
2024:12:11,16:12:8,,,,,,,,
2024:12:11,16:12:9,,,,,,,,
2024:12:11,16:12:10,,,,,,,,
2024:12:11,16:12:11,,,,,,,,
2024:12:11,16:12:12,,,,,,,,
2024:12:11,16:12:13,,,,,,,,
2024:12:11,16:12:14,,,,,,,,
2024:12:11,16:12:15,,,,,,,,
2024:12:11,16:12:16,,,,,,,,
2024:12:11,16:12:17,,,,,,,,
2024:12:11,16:12:18,,,,,,,,
2024:12:11,16:12:19,,,,,,,,
2024:12:11,16:12:20,,,,,,,,
2024:12:11,16:12:21,,,,,,,,
2024:12:11,16:12:22,,,,,,,,
2024:12:11,16:12:23,,,,,,,,
2024:12:11,16:12:24,,,,,,,,
2024:12:11,16:12:25,,,,,,,,
2024:12:11,16:12:26,,,,,,,,
2024:12:11,16:12:27,,,,,,,,
2024:12:11,16:12:28,,,,,,,,
2024:12:11,16:12:29,,,,,,,,
2024:12:11,16:12:30,,,,,,,,
2024:12:11,16:12:31,,,,,,,,
2024:12:11,16:12:32,,,,,,,,
2024:12:11,16:12:33,,,,,,,,
2024:12:11,16:12:34,,,,,,,,
2024:12:11,16:12:35,,,,,,,,
2024:12:11,16:12:36,,,,,,,,
2024:12:11,16:12:37,,,,,,,,
2024:12:11,16:12:38,,,,,,,,
2024:12:11,16:12:39,,,,,,,,
2024:12:11,16:12:40,,,,,,,,
2024:12:11,16:12:41,,,,,,,,
2024:12:11,16:12:42,,,,,,,,
2024:12:11,16:12:43,,,,,,,,
2024:12:11,16:12:44,,,,,,,,
2024:12:11,16:12:45,,,,,,,,
2024:12:11,16:12:46,,,,,,,,
2024:12:11,16:12:47,,,,,,,,
2024:12:11,16:12:48,,,,,,,,
2024:12:11,16:12:49,,,,,,,,
2024:12:11,16:12:50,,,,,,,,
2024:12:11,16:12:51,,,,,,,,
2024:12:11,16:12:52,,,,,,,,
2024:12:11,16:12:53,,,,,,,,
2024:12:11,16:12:54,,,,,,,,
2024:12:11,16:12:55,,,,,,,,
2024:12:11,16:12:56,,,,,,,,
2024:12:11,16:12:57,,,,,,,,
2024:12:11,16:12:58,,,,,,,,
2024:12:11,16:12:59,,,,,,,,
2024:12:11,16:13:0,,,,,,,,
2024:12:11,16:13:1,,,,,,,,
2024:12:11,16:13:2,,,,,,,,
2024:12:11,16:13:3,,,,,,,,
2024:12:11,16:13:4,,,,,,,,
2024:12:11,16:13:5,,,,,,,,
2024:12:11,16:13:6,,,,,,,,
2024:12:11,16:13:7,,,,,,,,
2024:12:11,16:13:8,,,,,,,,
2024:12:11,16:13:9,,,,,,,,
2024:12:11,16:13:10,,,,,,,,
2024:12:11,16:13:11,,,,,,,,
2024:12:11,16:13:12,,,,,,,,
2024:12:11,16:13:13,,,,,,,,
2024:12:11,16:13:14,,,,,,,,
2024:12:11,16:13:15,,,,,,,,
2024:12:11,16:13:16,,,,,,,,
2024:12:11,16:13:17,,,,,,,,
2024:12:11,16:13:18,,,,,,,,
2024:12:11,16:13:19,,,,,,,,
2024:12:11,16:13:20,,,,,,,,
2024:12:11,16:13:21,,,,,,,,
2024:12:11,16:13:22,,,,,,,,
2024:12:11,16:13:23,,,,,,,,
2024:12:11,16:13:24,,,,,,,,
2024:12:11,16:13:26,,,,,,,,
2024:12:11,16:13:27,,,,,,,,
2024:12:11,16:13:28,,,,,,,,
2024:12:11,16:13:29,,,,,,,,
2024:12:11,16:13:30,,,,,,,,
2024:12:11,16:13:31,,,,,,,,
2024:12:11,16:13:32,,,,,,,,
2024:12:11,16:13:33,,,,,,,,
2024:12:11,16:13:34,,,,,,,,
2024:12:11,16:13:35,,,,,,,,
2024:12:11,16:13:36,,,,,,,,
2024:12:11,16:13:37,,,,,,,,
2024:12:11,16:13:38,,,,,,,,
2024:12:11,16:13:39,,,,,,,,
2024:12:11,16:13:40,,,,,,,,
2024:12:11,16:13:41,,,,,,,,
2024:12:11,16:13:42,,,,,,,,
2024:12:11,16:13:43,,,,,,,,
2024:12:11,16:13:44,,,,,,,,
2024:12:11,16:13:45,,,,,,,,
2024:12:11,16:13:46,,,,,,,,
2024:12:11,16:13:47,,,,,,,,
2024:12:11,16:13:48,,,,,,,,
2024:12:11,16:13:49,,,,,,,,
2024:12:11,16:13:50,,,,,,,,
2024:12:11,16:13:51,,,,,,,,
2024:12:11,16:13:52,,,,,,,,
2024:12:11,16:13:53,,,,,,,,
2024:12:11,16:13:54,,,,,,,,
2024:12:11,16:13:55,,,,,,,,
2024:12:11,16:13:56,,,,,,,,
2024:12:11,16:13:57,,,,,,,,
2024:12:11,16:13:58,,,,,,,,
2024:12:11,16:13:59,,,,,,,,
2024:12:11,16:14:0,,,,,,,,
2024:12:11,16:14:1,,,,,,,,
2024:12:11,16:14:2,,,,,,,,
2024:12:11,16:14:3,,,,,,,,
2024:12:11,16:14:4,,,,,,,,
2024:12:11,16:14:5,,,,,,,,
2024:12:11,16:14:6,,,,,,,,
2024:12:11,16:14:7,,,,,,,,
2024:12:11,16:14:8,,,,,,,,
2024:12:11,16:14:9,,,,,,,,
2024:12:11,16:14:10,,,,,,,,
2024:12:11,16:14:11,,,,,,,,
2024:12:11,16:14:12,,,,,,,,
2024:12:11,16:14:13,,,,,,,,
2024:12:11,16:14:14,,,,,,,,
2024:12:11,16:14:15,,,,,,,,
2024:12:11,16:14:16,,,,,,,,
2024:12:11,16:14:17,,,,,,,,
2024:12:11,16:14:18,,,,,,,,
2024:12:11,16:14:19,,,,,,,,
2024:12:11,16:14:20,,,,,,,,
2024:12:11,16:14:21,,,,,,,,
2024:12:11,16:14:22,,,,,,,,
2024:12:11,16:14:23,,,,,,,,
2024:12:11,16:14:24,,,,,,,,
2024:12:11,16:14:25,,,,,,,,
2024:12:11,16:14:26,,,,,,,,
2024:12:11,16:14:27,,,,,,,,
2024:12:11,16:14:28,,,,,,,,
2024:12:11,16:14:29,,,,,,,,
2024:12:11,16:14:30,,,,,,,,
2024:12:11,16:14:31,,,,,,,,
2024:12:11,16:14:32,,,,,,,,
2024:12:11,16:14:33,,,,,,,,
2024:12:11,16:14:34,,,,,,,,
2024:12:11,16:14:35,,,,,,,,
2024:12:11,16:14:36,,,,,,,,
2024:12:11,16:14:37,,,,,,,,
2024:12:11,16:14:38,,,,,,,,
2024:12:11,16:14:39,,,,,,,,
2024:12:11,16:14:40,,,,,,,,
2024:12:11,16:14:41,,,,,,,,
2024:12:11,16:14:42,,,,,,,,
2024:12:11,16:14:43,,,,,,,,
2024:12:11,16:14:44,,,,,,,,
2024:12:11,16:14:45,,,,,,,,
2024:12:11,16:14:46,,,,,,,,
2024:12:11,16:14:47,,,,,,,,
2024:12:11,16:14:48,,,,,,,,
2024:12:11,16:14:49,,,,,,,,
2024:12:11,16:14:50,,,,,,,,
2024:12:11,16:14:51,,,,,,,,
2024:12:11,16:14:52,,,,,,,,
2024:12:11,16:14:53,,,,,,,,
2024:12:11,16:14:54,,,,,,,,
2024:12:11,16:14:55,,,,,,,,
2024:12:11,16:14:56,,,,,,,,
2024:12:11,16:14:57,,,,,,,,
2024:12:11,16:14:58,,,,,,,,
2024:12:11,16:14:59,,,,,,,,
2024:12:11,16:15:0,,,,,,,,
2024:12:11,16:15:1,,,,,,,,
2024:12:11,16:15:2,,,,,,,,
2024:12:11,16:15:3,,,,,,,,
2024:12:11,16:15:4,,,,,,,,
2024:12:11,16:15:5,,,,,,,,
2024:12:11,16:15:6,,,,,,,,
2024:12:11,16:15:7,,,,,,,,
2024:12:11,16:15:8,,,,,,,,
2024:12:11,16:15:9,,,,,,,,
2024:12:11,16:15:10,,,,,,,,
2024:12:11,16:15:11,,,,,,,,
2024:12:11,16:15:12,,,,,,,,
2024:12:11,16:15:13,,,,,,,,
2024:12:11,16:15:14,,,,,,,,
2024:12:11,16:15:15,,,,,,,,
2024:12:11,16:15:16,,,,,,,,
2024:12:11,16:15:17,,,,,,,,
2024:12:11,16:15:18,,,,,,,,
2024:12:11,16:15:19,,,,,,,,
